thai,burmese,count,status,category
ประตูสวนปรุง/ประตูแสนปุง,အနောက်တောင်မုဒ်,150,Ready,Chiang Mai
ประตูสวนดอก,အနောက်ဖက်မုဒ်,0,Queue,Chiang Mai
ประตูท่าแพ,အရှေ့ဖက်မုဒ်,100,Ready,Chiang Mai
ประตูเชียงใหม่,တောင်ဖက်မုဒ်,0,Queue,Chiang Mai
ประตูช้างเผือก,မြောက်ဖက်မုဒ်,0,Queue,Chiang Mai
10โมงเช้า,မနက် ၁၀ နာရီ,1400,Ready,Time
11โมง50นาที,၁၁ နာရီ ၅၀ မိနစ်,1000,Ready,Time
11โมงเช้า,နံနက် ၁၁ နာရီ,1400,Ready,Time
15นาทีครับ,၁၅ မိိနစ်ပါ,100,Ready,General
180บาทครับ,ဘတ် ၁၃၀ ပါ,500,Ready,Measurement
1ทุ่ม,ည ၇ နာရီ,1400,Ready,Time
2ทุ่ม,ည ၈ နာရီ,1400,Ready,Time
30บาทครับ,ဘတ် ၃၀ ပါ,500,Ready,Measurement
3ทุ่ม,ည ၉ နာရီ,1400,Ready,Time
3ฤดูครับมีฤดูร้อน,ဥတု ၃ မျိုးရှိတယ်၊ နွေရာသီပါတယ်။,600,Ready,Weather
4ทุ่ม,ည ၁၀ နာရီ,1400,Ready,Time
4โมงเย็น,ညနေ ၄ နာရီ,1400,Ready,Time
5ทุ่ม,ည ၁၁ နာရီ,1400,Ready,Time
5โมงเย็น,ညနေ ၅ နာရီ,1400,Ready,Time
6โมงเช้า,မနက်6နာရီ,1400,Ready,Time
6โมงเย็น,ညနေ ၆ နာရီ,1400,Ready,Time
7โมงเช้า,မနက်၇နာရီ,1400,Ready,Time
8โมง15นาที,၈ နာရီ ၁၅ မိနစ်,500,Ready,Time
8โมงเช้า,မနက်၈နာရီ,1400,Ready,Time
9โมงตรง,၉ နာရီအတိပါ,1000,Ready,Time
9โมงเช้า,မနက်9နာရီ,1400,Ready,Time
ChrisBaker และ,Chris Baker နဲ့,1700,Ready,General
ก ไก่,ကြက်ဖ,8100,Ready,Consonant
กฎหมาย,ဥပဒေ,600,Ready,Politics
กรกฎาคม,ဇူလိုင်,6400,Ready,Calendar
กรมรบพิเศษที่5,အမှတ် (၅) အထူးစစ်ဆင်ရေးတပ်ရင်း,600,Ready,Military
กระจก,ဖန်ခွက်,4800,Ready,Food
กระจกเงา,မှန်,1700,Ready,Object
กระจาย,ပျံ့နှံ့တယ်။,4500,Ready,General
กระดาน,သင်ပုန်း,2500,Ready,Object
กระดาษ,စာရွက်,1000,Ready,Object
กระติกน้ำร้อน,ဓါတ်ဗူး,4200,Ready,House
กระทะ,ကြော်အိုး,4500,Ready,Food
กระป๋อง,သံဗူး,500,Ready,Object
กระผม,တပည့်တော်,3600,Ready,Pronoun
กระเทียม,ကြက်သွန်ဖြူ,1500,Ready,Food
กระเป๋าสตางค์,ပိုက်ဆံအိတ်,400,Ready,Object
กระเป๋าสตางค์,ပိုက်ဆံအိတ်,3500,Ready,Noun
กระเป๋าเป้,ကျောပိုးအိတ်,300,Ready,Clothing
กระโปรง,စကပ်,2000,Ready,Clothing
กริยา,ကြိယာ,300,Ready,Education
กรุณาช่วยผมด้วย,ကျေးဇူးပြုပြီးကျွန်တော့်ကိုကူညီပါ,1000,Ready,General
กรุณาสับมันหน่อย,တချက်လောက် ခုတ်ပေးပါဦး,1000,Ready,General
กลับไป,ပြန်သွား,400,Ready,Action
กลัวจะยัดไม่เข้า,မတော်မှာစိုးရိမ်တယ်,2800,Ready,Xxx
กลางคืน,ည,7600,Ready,Time
กล้วย,ငှက်ပျောသီး,3000,Ready,Food
กล้วยน้ำว้า,ဖီးကြမ်းသီး,1800,Ready,Nature
กว่า,ထက်ပို၍,500,Ready,General
กว้างหรือแคบ,ကျယ် သို့ ကျဥ်းသော,5000,Ready,Adjective
กษัตริย์,ဘုရင်,3000,Ready,Politics
กอด,ဖက်တယ်။,3200,Ready,General
กันยายน,စက်တင်ဘာ,6400,Ready,Calendar
กันสาย,အဆက်မပြတ်,2300,Ready,Xxx
กับ,နှင့်အတူ,300,Ready,General
กับคนไทยบ่อยๆ,ထိုင်းလူမျိုးတွေနဲ့ မကြာခဏ,1500,Ready,General
กัมพูชา,ကမ္ဘောရီးယား,3500,Ready,Country
กากี,ကာကီရောင်,500,Ready,Color
กางเกงขายาว,ဘောင်းဘီရှည်,4100,Ready,Clothing
กางเกงใน,အတွင်းခံဘောင်းဘီ,1300,Ready,Clothing
กามีตา,ကျီးမှာ မျက်လုံးရှိတယ်,500,Ready,School
การบ้าน,အိမ််စာ,1500,Ready,Education
การย้ายถิ่นฐาน,ပြောင်းရွှေ့နေထိုင်ခြင်း,900,Ready,Immigration
การสัมภาษณ์ใช้เวลานานเท่าไหร่,အင်တာဗျူးက ဘယ်လောက်ကြာမလဲ,500,Ready,Immigration
การออกเสียงภาษาไทย,ထိုင်းအသံထွက်က,1830,Ready,General
การเข้าเมือง,လူဝင်မှုကြီးကြပ်ရေး,1000,Ready,Immigration
การแข่งขัน,ပြိုင်ပွဲ,500,Ready,Sport
การโจรกรรม,ခိုးဝှက်မှု,1300,Ready,General
กาสีดำ,ကျီးမဲ,500,Ready,School
กำยำ,ခိုင်မာသည်,1100,Ready,Adjective
กำลังใจ,စိတ်ခွန်အား,6500,Ready,General
กำหนด,သတ်မှတ်တယ်။,4500,Ready,General
กำไร,အကျိုးအမြတ်,1700,Ready,Money
กิจกรรม,လှုပ်ရှားမှု/ပွဲ,1500,Ready,General
กินกันเถอะ,အတူစားကြစို့,2000,Ready,Daily
กินข้าวผัดเมื่อเช้า,ဒီမနက်ထမင်းကြော်စားခဲ့တယ်,1100,Ready,Daily
กินข้าวหรือยัง,ထမင်းစားပြီးပြီလား,4000,Ready,Daily
กินข้าวหรือยัง,စားပြီးပြီလား,300,Ready,Question
กินที่นี่,ဆိုင်ထိုင်စား,400,Ready,Daily
กินและดื่ม,စားဖို့နဲ့ သောက်ဖို့,10500,Ready,Action
กินแล้วครับ,စားပြီးပြီ,300,Ready,Daily
กิโล,ကီလို,10,Ready,Measurement
กีฬา,အားကစား,500,Ready,Sport
กี่โมงแล้ว?,ဘယ်နှနာရီလဲ,6300,Ready,Time
กุมภาพันธ์,ဖေဖော်ဝါရီ,6400,Ready,Calendar
กุ้ง,ပုဇွန်,4000,Ready,Food
ก็,လည်းပဲ,500,Ready,General
ก็คงไม่รู้ว่าใจตรงกัน,တို့ရဲ့ခံစားချက်တွေ ထပ်တူညီနေတာ သိနိုင်တော့မှာမဟုတ်ဘူး။,1800,Ready,Song
ก่อนที่เธอจะมาถึง,သူမ မရောက်ခင်,2100,Ready,Time
ก่อนและหลัง,မတိုင်ခင်နဲ့ ပြီးနောက်,4300,Ready,Time
ก้อน,အတုံးအရေအတွက်,900,Ready,Measurement
ก๊อกน้ำ,ရေပိုက်ခေါင်း,1000,Ready,Object
ก๋วยเตี๋ยว,ကွေ့တယို,500,Ready,Food
ก๋วยเตี๋ยวน้ำใส,ကွေ့တယို ဟင်းရည်ကြည်,400,Ready,Food
ข ไข่,ဥ,8100,Ready,Consonant
ขณะนี้ผมทำงานระยะไกลจากประเทศเมียนมาร์,အခု မြန်မာနိုင်ငံက အဝေးအလုပ်တွေ လုပ်နေတယ်။,520,Ready,Myself
ขนมจีน,ထိုင်းမုန့်ဟင်းခါး,2100,Ready,Food
ขยะ,အမှိုက်,500,Ready,Object
ขอกาแฟร้อนหนึ่งถ้วยครับ,ကော်ဖီပူပူတခွက်ပေးပါ,435,Ready,Food
ขอกาแฟเย็นหนึ่งแก้ว,ကျေးဇူးပြုပြီးကော်ဖီအေးတခွက်ပေးပါ,1300,Ready,Drink
ขอข้าวเพิ่มอีก2จาน,နောက် ထမင်း ၂ ပွဲထပ်ယူမယ်,1700,Ready,Food
ของนักเขียนทั้งพม่า,ဗမာစာရေးဆရာတွေ,2500,Ready,General
ของประเทศไทย,ထိုင်းနိုင်ငံရဲ့,2000,Ready,General
ของผมจะพัฒนา,ကျနော့်…တိုးတက်လာမယ်,1800,Ready,General
ของหาย,ပစ္စည်းပျောက်တယ်,5800,Ready,General
ของแถม,လက်ဆောင်,6500,Ready,General
ของใคร,ဘယ်သူ့ဟာလဲ,5000,Ready,General
ขอซื้อดอกกุหลาบ3ดอก,နှင်းဆီ ၃ ပွင့်ပေးပါ,600,Ready,Nature
ขอดูแหวนได้ไหม?,လက်စွပ်ကို ကြည့်လို့ရမလား,900,Ready,Question
ขอน้ำผลไม้,သစ််သီးဖျော်ရည်တမျိုးမျိုးလိုချင်တယ်,400,Ready,Drink
ขอน้ำส้มหนึ่งแก้ว,လိမ္မော်ရည်တခွက်ပေးပါ,400,Ready,Drink
ขอน้ำเปล่าหนึ่งขวดครับ,ရေတပုလင်းပေးပါ,1500,Ready,Drink
ขอบคุณครับ,ကျေးဇူးပါ,510,Ready,General
ขอบคุณที่รับฟังครับ,နားထောင်ပေးလို့ ကျေးဇူးပါ။,3300,Ready,General
ขอบคุณมากคับ,ကျေးဇူးအရမ်းတင်ပါတယ်ခင်ဗျ,7000,Ready,Gratitude
ขอลองได้ไหม,ကြိုးစား(ဝတ်)ကြည့်လို့ရမလား,1000,Ready,Question
ขอสั่งอีกอันหนึ่งด้วย,တပွဲထပ်ယူပါမယ်,2100,Ready,Food
ขอสายชาร์จ,ဖုန်းအားသွင်းကြိုး ရမလား,2300,Ready,Daily
ขออายุเท่าไหร่คับ,အသက်ဘယ်လောက်ရှိပြီလဲ?,7000,Ready,Greeting
ขอเบอร์โทรศัพท์หน่อย,ဖုန်းနံပါတ် တချက်လောက်ပေးပါ,3000,Ready,General
ขอเบียร์สิงห์สองขวด,စင်ဂါးဘီယာ ၂ ပုလင်းပေးပါ,280,Ready,Drink
ขอเพิ่มอีก,ကျေးဇူးပြုပြီးထပ်ထည့်ပါ,1000,Ready,Food
ขอเรียกรถแท็กซี่หน่อย,တက္ကစီခေါ်ပေးနိုင်မလား,1400,Ready,General
ขอแก้วสามใบด้วยครับ,ခွက် ၃ ခွက်လည်းပေးပါ,500,Ready,Object
ขอแม่โขงหนึ่งขวด,မဲခေါင် ၁ လုံးပေးပါ,300,Ready,Drink
ขอโซดาเพิ่มอีกหนึ่งขวด,ဆိုဒါ နောက် ၁ လုံးရနိုင်မလား,500,Ready,Drink
ขอโทษครับกี่โมงแล้วครับ,တဆိတ်လောက် ဘယ်နှနာရီထိုးပြီလဲ,800,Ready,General
ขับรถดีๆนะ,ကားကိုဂရုစိုက်မောင်းပါ,500,Ready,TravelSafety
ตาโต,မျက်လုံးကြီး,1000,Ready,Body
ใหญ่หรือเล็ก,ကြီး သို့ သေးသော,3300,Ready,Adjective
ขิง,ဂျင်း,1900,Ready,Food
ขี,မစင်,500,Ready,Daily
ขี่มอไซค์ดีๆนะ,ဆိုင်ကယ်ကိုဂရုတစိုက်စီးပါ။,500,Ready,TravelSafety
ขึ้นเร็วๆนี้,မကြာပါဘူး,2000,Ready,General
ขูดหินปุ่น,သွားချေးချွတ်သည်,1440,Ready,Health
ข่าว,သတင်း,50,Ready,General
ข้อมูล,ဒေတာ,500,Ready,Technology
ข้าว,ဆန်,4000,Ready,Food
ข้าวซอย,ခေါက်ဆွဲ,500,Ready,Food
ข้าวผัด,ထမင်းကြော်,500,Ready,Food
ข้าวผัดสับปะรด,နာနတ်သီးထမင်းကြော်,500,Ready,Food
ข้าวยำ,အသုတ်စုံထမင်း,2700,Ready,Food
ข้าวสวย,ထမင်း,4000,Ready,Food
ข้าวเหนียว,ကောက်ညှင်း,10,Ready,Food
ฃ ขวด,ပုလင်း,8100,Ready,Consonant
ค ควาย,ကျွဲ,8100,Ready,Consonant
คงจะมา,လာချင်လာလိမ့်မယ်,7400,Ready,Prediction
คนจีนและคนญี่ปุ่นชอบดื่มน้ำชาร้อน,တရုတ်နဲ့ ဂျပန်တွေက လက်ဖက်ရည်အပူကြိုက်တယ်,600,Ready,General
คนพม่า,ဗမာလူမျိုး,5000,Ready,People
คนอเมริกันชอบดื่มกาแฟไม่ใส่น้ำตาล,အမေရိကန်တွေက ကော်ဖီကို သကြားမထည့်တာကြိုက်တယ်,100,Ready,General
คนไทยชอบดื่มกาแฟเย็น,ထိုင်းတွေက ကော်ဖီအေးသောက်ရတာ ကြိုက်တယ်,700,Ready,Food
ผมจะเอา 2 กำ,ဟုတ်ကဲ့ ၂ စည်းယူမယ်,800,Ready,General
ครัว,မီးဖိုချောင်,4000,Ready,House
ครั้งเดียวเท่านั้น,တကြိမ်ပဲ,2300,Ready,General
คราวหน้า,နောက်အကြိမ်,2500,Ready,Time
ครีม,ခရမ်၊ ကော်ဖီမိတ်,800,Ready,Ingredient
ครึ่ง,တဝက်,500,Ready,Number
ครู,ဆရာ,500,Ready,Job
คลังเก็บเอกสารสำคัญ,မော်ကွန်း,1300,Ready,School
คลินิกทันตกรรม,သွားဆေးခန်း,2600,Ready,Place
ควย,ဒုတ်,300,Ready,Slang
ควรมา,လာသင့်တယ်,8500,Ready,Advice
ความผูกพัน,သံယောဇဉ်,500,Ready,Emotion
คอมพิวเตอร์,ကွန်ပြူတာ,400,Ready,Object
คอมพิวเตอร์ของฉันเสีย,ကျွန်တော့်ကွန်ပျူတာ ပျက်သွားပြီ,500,Ready,Technology
คัดลายมือ,လက်ရေးကျင့်,1500,Ready,Education
คำถามที่ไม่ต้องการคำตอบ,အဖြေမလိုတဲ့မေးခွန်းမျိုး,1200,Queue,Question
คำนาม,နာမ်,2000,Ready,Education
คำร้องขอ,လျှောက်လွှာ,1800,Ready,Immigration
คำศัพท์,ဝေါဟာရ,3900,Ready,Education
คำเตือน,သတိ,1500,Ready,General
คิด,စဥ်းစားသည်,4000,Ready,General
คิดบวกหรือคิดลบ,အကောင်းမြင် သို့ မကောင်းမြင်သည်,5300,Ready,General
คิดมากไปทำไม,ဘာလို့အတွေးများနေတာလဲ,6600,Ready,Daily
คิดว่าผมไม่รู้หรอ,ငါမသိဘူးလို့ထင်နေတာလား,3200,Ready,Daily
คิดอะไรอยู่หรอ,ဘာတွေတွေးနေတာလဲ,6600,Ready,Daily
คิดเงิน,ငွေရှင်းမယ်,2300,Ready,Daily
คิดเอาแล้ว,စဥ်းစားလို့ရပြီ,4500,Ready,General
คิดเอาแล้วว่าต้องทำยังไง,ဘာလုပ်ရမလဲ စဥ်းစားလို့ရပြီ,4400,Ready,General
คิดไม่เอา,မစဥ်းစားနဲ့,6100,Ready,Daily
คิว,တန်းစီသည်,3000,Ready,Verb
คือการอ่านหนังสือ,စာအုပ်ဖတ်ခြင်းပါ,2700,Ready,General
คุณ,ခင်ဗျား/သင်,1000,Ready,Pronoun
คุณจะซื้อผลไม้ที่ตลาดนานไหมครับ,ဈေးမှာ သစ်သီးဝယ်ဖို့ ဘယ်လောက်ကြာမလဲ။,600,Queue,General
คุณจะอยู่เมืองไทยนานไหมครับ,ထိုင်းမှာ အကြာကြီးနေမှာလား။,3300,Ready,General
คุณจะเข้าเรียนกี่โมงครับ,ဘယ်နှနာရီကျောင်းသွားလဲ,1600,Ready,School
คุณชอบกีฬาอะไร,မင်း ဘာအားကစား ကြိုက်လဲ,100,Ready,Sport
คุณชื่ออะไร,ခင်ဗျားနာမည်ဘယ်လိုခေါ်လဲ။,8000,Ready,Greeting
คุณชื่ออะไรครับ,ခင်ဗျားနာမည်ဘယ်လိုခေါ်ပါသလဲ,500,Ready,Introduction
คุณช่วยฉันแก้ไขปัญหานี้ได้ไหม,ဒီပြဿနာကို ဖြေရှင်းဖို့ ကျွန်တော့်ကို ကူညီနိုင်မလား,0,Queue,Technology
คุณช่วยอธิบายเป็นภาษาอังกฤษได้ไหม,ဒါကိုအင်္ဂလိပ်လိုရှင်းပြလို့ရမလား?,2000,Ready,Daily
คุณช่างงดงาม,မင်းကလှတယ်,15015,Ready,Greeting
คุณทานข้าวเที่ยงแล้วหรือยัง,နေ့လည်စာစားပြီးပြီလား,2200,Queue,General
คุณทำอะไรในวันหยุด,အားလပ်ရက်မှာ မင်း ဘာလုပ်လဲ,100,Ready,Leisure
คุณพูดภาษาอังกฤษได้ไหมคับ,အင်္ဂလိပ်လိုပြောတတ်လား,7000,Ready,Greeting
คุณมาจากไหน,ဘယ်ကလာလဲ,600,Ready,Question
คุณมีเอกสารที่จำเป็นทั้งหมดหรือไม่,လိုအပ်တဲ့ စာရွက်စာတမ်းတွေ အားလုံး မင်းမှာ ရှိလား,735,Drill,Immigration
คุณมีแอปพลิเคชันนี้หรือไม่,ဒီအပလီကေးရှင်းကို မင်းမှာရှိလား,0,Queue,Technology
คุณล่ะครับ,ခင််ဗျားရော။,110,Ready,General
คุณล่ะครับจะกลับบ้านเมื่อไหร่,မင်းကော ဘယ်တော့အိမ်ပြန်မှာလဲ?,600,Queue,General
คุณล่ะครับเกิดเดือนอะไร,မင်းကော ဘယ်လမှာမွေးလဲ?,200,Ready,General
คุณสบายดีไหมครับ,နေကောင်းပါသလားခင်ဗျ,500,Ready,Introduction
คุณสาบายดีไหมคับ,နေကောင်းလားခင်ဗျ,7500,Ready,Greeting
คุณสามารถนั่งบนม้านั่งตัวนี้ได้,ဒီခုံမှာထိုင်နိုင်ပါတယ်။,1300,Queue,Daily
คุณเกิดวันอะไร,ခင်ဗျားဘယ်နေ့ဖွားလဲ,800,Ready,Question
คุณเกิดเดือนอะไรครับ,မင်းဘယ်လမှာမွေးတာလဲ။,200,Ready,Question
คุณเกิดเมื่อไหร่ครับ,သင့်ကိုဘယ်တုန်းကမွေးပါသလဲ?,1300,Ready,Time
คุณเรียนภาษาไทยกี่โมงครับ,ထိုင်းစာကို ဘယ်အချိန်လေ့လာလဲ။,1000,Queue,General
คุณเรียนภาษาไทยมากี่ปีแล้วครับ,ထိုင်းစာကို ဘယ်နှစ်နှစ်လောက် လေ့လာပြီးပြီလဲ။,600,Queue,General
คุณไม่อยากไปเที่ยวบ้างหรือครับ,ခရီးလေးတောင်မသွားချင်ဘူးလား။,600,Queue,General
คู่ใจ,ချစ်သူ,3500,Queue,Daily
ค่อนข้างถูก,တန်တယ်,3100,Queue,Money
ค่อยค่อยคิด,ဖြည်းဖြည်းစဥ်းစားပါ,5600,Ready,Daily
ค่าประกัน,စပေါ်,2500,Queue,Money
ค่ามัดจำ,စရံ,3500,Queue,Money
ค่ายรบพิเศษที่5,အမှတ် (၅) အထူးစစ်ဆင်ရေးစခန်း,1000,Ready,Military
ค่าเช่า,အိိမ်ငှားခ,1300,Queue,General
ฅ ฅน,လူ,8100,Ready,Consonant
ฆ ระฆัง,ခေါင်းလောင်း,9600,Ready,Consonant
ฆาตกรรม,လူသတ်မှု,3000,Queue,General
ง งู,မြွေ,8100,Ready,Consonant
งั้นๆนะ,ဒီလိုပါပဲ။,8000,Ready,Greeting
งั้นๆอะ,ဒီလိုပါပဲ,500,Ready,General
งาดำ,နှမ်းနက်,2000,Ready,Food
งานของผมเป็นงานอิสระ,ကျွန်တော့်အလုပ်က freelance ပါ။,2000,Queue,General
งานอดิเรกของฉันคือการวาดรูป,ကျွန်တော့်ဝါသနာက ပုံဆွဲတာပါ,5,Queue,Leisure
งานอดิเรกของผม,ကျနော့်ဝါသနာ,2700,Queue,General
งานไหล่ทางข้างหน้า,လမ််းပြင်နေသည်,3000,Queue,General
งูมีจอ,မြွေမှာကွင်းရှိတယ်,1200,Queue,School
ง่วงนอน,အိပ်ငိုက်သည်,4000,Queue,Health
ง่ายหรือยาก,လွယ်သို့ ခက်သော,1500,Queue,Adjective
จ จาน,ပန်းကန်,8100,Ready,Consonant
จดหมายแนะนำ,ထောက်ခံစာ,1500,Queue,General
จระเข้,မိကျောင်း,1500,Queue,Animal
จอดูนา,ခွေးကကွင်းပြင်ကိုကြည့်တယ်,1200,Queue,School
จอบ,ပေါက်တူး,800,Queue,Object
จอห์นมาสายมาก,ဂျွန်လာတာ သိပ်နောက်ကျတယ်,600,Queue,School
จะกลับบ้านเมื่อไหร่ครับ,မင်းဘယ်တော့အိမ်ပြန်မှာလဲ,600,Queue,General
จะกินน้ำอะไรครับ,ခင်ဗျားဘာသောက်ချင်လဲ,800,Queue,General
จะชอบ,ကြိုက်မယ်,8000,Ready,Verb
จะดื่มอะไรดีครับ,ခင်ဗျားဘာသောက်ချင်လဲ,400,Ready,General
จะดื่มเหล้าหรือเบียร์ดีครับ,အရက်လား ဘီယာလား ဘာသောက်ချင်လဲ,100,Ready,Drink
จะดู,ကြည့်မယ်,510,Ready,School
จะทานอาหารเที่ยงกี่โมงครับ,ဘယ်အချိန်နေ့လည်စာစားလဲ,1200,Ready,General
จะทำ,လုပ်မယ်,7000,Ready,Verb
จะทำงาน,အလုပ်လုပ်မယ်,3000,Ready,Verb
จะทำดี,ကောင််းတာလုပ်မယ်,500,Ready,General
จะปะ,သွားမလား,500,Ready,General
จะพูดภาษาไทยว่าอย่างไร,ထိုင်းလိုဘယ်လိုခေါ်လဲ,1600,Ready,Question
จะเลิกเรียนกี่โมงครับ,ကျောင်းဘယ်နှနာရီဆင်းလဲ,1000,Queue,School
จะเสร็จ,ပြီးတော့မယ်,650,Queue,18+
จะเห็น,မြင်မယ်,10000,Ready,Verb
จะแปลหนังสือ,ကျနော်ဘာသာပြန်ဖို့စဥ်းစားနေတယ်,2500,Queue,General
จะใช้,သုံးမယ်,7500,Ready,Verb
จะไป,သွားမယ်,500,Ready,General
จะไปทำงาน,အလုပ်သွားလုပ်မယ်,4500,Ready,Job
จะไปไหนครับ,ဘယ်သွားမလို့လဲ,300,Ready,Question
จังหวัด,ပြည်နယ်,1400,Ready,Place
จาก,မှ,400,Ready,General
จากโรงเรียน,ကျောင််းက,500,Queue,General
จาน,ပန်းကန်,200,Ready,Object
จำได้ไหม,မှတ်မိလား,800,Queue,Question
จีน,တရုတ်,2000,Queue,Country
จีบ,ချဥ်းကပ်သည်,1300,Queue,Daily
จ่ายเงินแล้วครับ,ပေးပြီးပါပြီ,2000,Queue,General
จําคํา,စာလုံးကို မှတ်မိသည်,1000,Queue,Education
จําปี,စကားပန်း,1300,Queue,Flower
จําเจ,ပျင်းစရာ,1000,Queue,Adjective
ฉ ฉิ่ง,စည်း,8600,Ready,Consonant
ฉัน,ကျွန်မ,6000,Ready,Pronoun
ผมกำลังดาวน์โหลดไฟล์,ကျွန်တော် ဖိုင်ကို ဒေါင်းလုဒ်လုပ်နေတယ်,10,Ready,Technology
ฉันกำลังรอการอนุมัติวีซ่า,ကျွန်တော် ဗီဇာအတည်ပြုချက်ကို စောင့်နေတယ်,11,Queue,Immigration
ผมจะไปวิ่งที่สวนสาธารณะ,ကျွန်တော် ပန်းခြံမှာ သွားပြေးမယ်,0,Queue,Sport
ผมชอบฟังเพลงตอนทำความสะอาดบ้าน,အိမ်သန့်ရှင်းရေးလုပ်တဲ့အခါ သီချင်းနားထောင်ရတာ ကြိုက်တယ်,300,Ready,Leisure
ผมชอบอ่านหนังสือในเวลาว่าง,ကျွန်တော် အားလပ်ချိန်မှာ စာအုပ်ဖတ်ရတာ ကြိုက်တယ်,175,Ready,Leisure
ผมชอบเล่นกีฬา,ကျွန်တော် အားကစားလုပ်ရတာ ကြိုက်တယ်,0,Queue,Sport
